# frame timestamp, TTL timestamp
532213660557,532213694834
532213693873,532213727484
532213727188,532213765327
532213760506,532213797554
532213793822,532213828206
532213827137,532213862542
532213860453,532213894884
532213893769,532213928302
532213927084,532213966635
532213960401,532213994825
532213993717,532214028185
532214027032,532214065716
532214060349,532214094847
532214093664,532214132076
532214126981,532214161550
532214160296,532214194784
532214193612,532214228096
532214226929,532214261572
532214260244,532214298662
532214293561,532214328036
532214326876,532214361867
532214360192,532214393831
532214393508,532214427248
532214426840,532214465720
532214460140,532214494542
532214493456,532214527844
532214526772,532214561312
532214560088,532214594549
532214593404,532214631812
532214626721,532214661267
532214660036,532214694365
532214693352,532214727826
532214726668,532214761171
532214759983,532214798509
532214793299,532214827821
532214826616,532214861190
532214859931,532214894394
532214893247,532214927683
532214926563,532214965012
532214959881,532214996409
532214993196,532215027559
532215026511,532215060995
532215059827,532215098329
532215093143,532215130149
532215126459,532215161085
532215159775,532215194359
532215193091,532215227444
532215226407,532215260975
532215259723,532215297244
532215293040,532215327517
532215326355,532215360819
532215359670,532215394151
532215392986,532215427525
532215426302,532215465441
532215459619,532215493345
532215492934,532215526300
532215526253,532215559827
532215559566,532215593219
532215592882,532215628911
532215626199,532215659895
532215659514,532215693980
532215692830,532215727235
532215726146,532215760601
532215759462,532215795538
532215792778,532215826189
532215826094,532215859639
532215859410,532215893008
532215892726,532215926403
532215926041,532215962071
532215959358,532215993149
532215992676,532216026580
532216025990,532216059585
532216059305,532216092765
532216092621,532216129781
532216125939,532216159701
532216159253,532216192611
532216192569,532216227845
532216225886,532216259236
532216259201,532216295273
532216292518,532216328762
532216325834,532216359505
532216359149,532216392501
532216392465,532216426768
532216425781,532216461866
532216459098,532216492758
532216492413,532216526027
532216525729,532216559273
532216559045,532216593447
532216592361,532216633452
532216625678,532216660157
532216658993,532216693455
532216692309,532216726845
532216725625,532216759993
532216758941,532216797528
